,census_tract,DP05_0070E_x,DP05_0070PE,DP05_0071E_x,DP05_0071PE,DP05_0077E_x,DP05_0077PE,DP05_0078E_x,DP05_0078PE,DP05_0079E_x,DP05_0079PE,DP05_0080E_x,DP05_0080PE,DP05_0081E_x,DP05_0081PE,DP05_0082E_x,DP05_0082PE,DP05_0083E_x,DP05_0083PE,entropy_index,DP05_0070E_y,DP05_0071E_y,DP05_0077E_y,DP05_0078E_y,DP05_0079E_y,DP05_0080E_y,DP05_0081E_y,DP05_0082E_y,DP05_0083E_y,totalpop,prop_white,prop_black,prop_asian,prop_hisp,prop_nhopi,prop_aian,prop_multir,other,prop_other
0,1001000100,4888,4888,682,14.0,3739,76.5,33,0.7,0,0.0,296,6.1,0,0.0,47,1.0,91,1.9,0.7610599855228937,4888,682,3739,33,1,296,1,47,91,4890,0.7646216768916155,0.006748466257668712,0.06053169734151329,0.1394683026584867,0.00020449897750511248,0.00020449897750511248,0.018609406952965236,0.018609406952965236,0.009611451942740287
1,1001000201,3922,3922,438,11.2,2223,56.7,238,6.1,32,0.8,831,21.2,0,0.0,0,0.0,160,4.1,1.2371694719355928,3922,438,2223,238,32,831,1,1,160,3924,0.5665137614678899,0.060652395514780834,0.2117737003058104,0.11162079510703364,0.00025484199796126404,0.00815494393476045,0.040774719673802244,0.040774719673802244,0.00025484199796126404
2,1001000202,4709,4709,426,9.0,3574,75.9,286,6.1,0,0.0,262,5.6,16,0.3,0,0.0,145,3.1,0.8858818438927397,4709,426,3574,286,1,262,16,1,145,4711,0.7586499681596264,0.06070897898535343,0.05561451921035873,0.0904266610061558,0.003396306516663129,0.00021226915729144556,0.030779027807259607,0.030779027807259607,0.00021226915729144556
3,1001000300,6585,6585,517,7.9,4820,73.2,559,8.5,0,0.0,529,8.0,0,0.0,41,0.6,119,1.8,0.9153245106632627,6585,517,4820,559,1,529,1,41,119,6587,0.7317443449218157,0.0848641263093973,0.0803097009260665,0.07848793077273418,0.0001518141794443601,0.0001518141794443601,0.018065887353878853,0.018065887353878853,0.006224381357218764
4,1001000400,1413,1413,210,14.9,1033,73.1,31,2.2,0,0.0,101,7.1,0,0.0,0,0.0,38,2.7,0.8924507142712371,1413,210,1033,31,1,101,1,1,38,1416,0.7295197740112994,0.021892655367231638,0.0713276836158192,0.1483050847457627,0.0007062146892655367,0.0007062146892655367,0.026836158192090395,0.026836158192090395,0.0007062146892655367
5,1001000501,3434,3434,466,13.6,2401,69.9,258,7.5,0,0.0,260,7.6,0,0.0,0,0.0,49,1.4,0.976513740659009,3434,466,2401,258,1,260,1,1,49,3437,0.6985743380855397,0.07506546406750073,0.07564736688972941,0.13558335757928425,0.0002909514111143439,0.0002909514111143439,0.014256619144602852,0.014256619144602852,0.0002909514111143439
6,1001000502,3396,3396,584,17.2,2528,74.4,76,2.2,0,0.0,106,3.1,9,0.3,0,0.0,93,2.7,0.8324535731308841,3396,584,2528,76,1,106,9,1,93,3398,0.7439670394349618,0.022366097704532076,0.031194820482636845,0.1718658034137728,0.00264861683343143,0.0002942907592701589,0.02736904061212478,0.02736904061212478,0.0002942907592701589
7,1001000600,4966,4966,674,13.6,3508,70.6,328,6.6,0,0.0,334,6.7,0,0.0,32,0.6,90,1.8,0.9537312805588347,4966,674,3508,328,1,334,1,32,90,4968,0.7061191626409018,0.06602254428341385,0.06723027375201288,0.1356682769726248,0.00020128824476650564,0.00020128824476650564,0.018115942028985508,0.018115942028985508,0.00644122383252818
8,1001000701,5786,5786,367,6.3,3940,68.1,584,10.1,50,0.9,668,11.5,0,0.0,0,0.0,177,3.1,1.0665128002279953,5786,367,3940,584,50,668,1,1,177,5788,0.6807187284035936,0.10089841050449205,0.11541119557705598,0.06340704906703525,0.00017277125086385625,0.008638562543192813,0.030580511402902556,0.030580511402902556,0.00017277125086385625
9,1001000702,2972,2972,386,13.0,1936,65.1,241,8.1,0,0.0,248,8.3,0,0.0,66,2.2,95,3.2,1.0706402795922345,2972,386,1936,241,1,248,1,66,95,2974,0.6509751176866173,0.08103564223268325,0.08338937457969066,0.12979152656355078,0.0003362474781439139,0.0003362474781439139,0.03194351042367182,0.03194351042367182,0.02219233355749832
10,1001000801,6195,6195,704,11.4,4308,69.5,568,9.2,0,0.0,445,7.2,0,0.0,11,0.2,159,2.6,1.0048113082174466,6195,704,4308,568,1,445,1,11,159,6197,0.6951750847184122,0.09165725350976278,0.07180893980958529,0.11360335646280459,0.00016136840406648378,0.00016136840406648378,0.02565757624657092,0.02565757624657092,0.0017750524447313217
11,1001000802,3470,3470,474,13.7,2343,67.5,292,8.4,0,0.0,264,7.6,0,0.0,0,0.0,97,2.8,1.046021720072675,3470,474,2343,292,1,264,1,1,97,3473,0.6746328822343794,0.08407716671465591,0.07601497264612726,0.13648142816009215,0.00028793550244745177,0.00028793550244745177,0.027929743737402823,0.027929743737402823,0.00028793550244745177
12,1001000901,7270,7270,820,11.3,5220,71.8,518,7.1,20,0.3,505,6.9,0,0.0,8,0.1,179,2.5,0.9661054964926725,7270,820,5220,518,20,505,1,8,179,7271,0.7179205061202035,0.07124191995598955,0.06945399532388942,0.1127767844863155,0.00013753266400770182,0.0027506532801540367,0.024618346857378626,0.024618346857378626,0.0011002613120616146
13,1001000902,2416,2416,302,12.5,1829,75.7,95,3.9,0,0.0,60,2.5,0,0.0,0,0.0,130,5.4,0.8535414627971636,2416,302,1829,95,1,60,1,1,130,2419,0.7560975609756098,0.03927242662257131,0.024803637866887142,0.12484497726333195,0.00041339396444811904,0.00041339396444811904,0.05374121537825548,0.05374121537825548,0.00041339396444811904
14,1001001001,7213,7213,446,6.2,5666,78.6,268,3.7,0,0.0,455,6.3,0,0.0,22,0.3,356,4.9,0.8093910711188796,7213,446,5666,268,1,455,1,22,356,7215,0.7853083853083853,0.03714483714483714,0.06306306306306306,0.06181566181566182,0.0001386001386001386,0.0001386001386001386,0.04934164934164934,0.04934164934164934,0.003049203049203049
15,1001001002,3428,3428,472,13.8,2247,65.5,203,5.9,0,0.0,296,8.6,0,0.0,24,0.7,186,5.4,1.0915499260793102,3428,472,2247,203,1,296,1,24,186,3430,0.6551020408163265,0.05918367346938776,0.08629737609329446,0.13760932944606413,0.0002915451895043732,0.0002915451895043732,0.05422740524781341,0.05422740524781341,0.006997084548104956
16,1001001100,4823,4823,342,7.1,3800,78.8,235,4.9,44,0.9,285,5.9,15,0.3,0,0.0,102,2.1,0.832251134635627,4823,342,3800,235,44,285,15,1,102,4824,0.7877280265339967,0.04871475953565506,0.05907960199004975,0.0708955223880597,0.003109452736318408,0.00912106135986733,0.021144278606965175,0.021144278606965175,0.00020729684908789387
17,1001001200,5362,5362,576,10.7,3699,69.0,393,7.3,0,0.0,457,8.5,0,0.0,0,0.0,237,4.4,1.0382325652686306,5362,576,3699,393,1,457,1,1,237,5365,0.6894687791239515,0.07325256290773532,0.08518173345759553,0.10736253494874184,0.0001863932898415657,0.0001863932898415657,0.04417520969245107,0.04417520969245107,0.0001863932898415657
18,1001001301,4334,4334,346,8.0,2843,65.6,650,15.0,0,0.0,376,8.7,0,0.0,0,0.0,119,2.7,1.07754345483127,4334,346,2843,650,1,376,1,1,119,4337,0.6555222504035048,0.14987318422872953,0.08669587272308046,0.07977864883560065,0.00023057412958266084,0.00023057412958266084,0.02743832142033664,0.02743832142033664,0.00023057412958266084
19,1001001302,7166,7166,949,13.2,5067,70.7,581,8.1,0,0.0,344,4.8,0,0.0,22,0.3,203,2.8,0.9657145584992762,7166,949,5067,581,1,344,1,22,203,7168,0.7068917410714286,0.0810546875,0.04799107142857143,0.13239397321428573,0.00013950892857142856,0.00013950892857142856,0.0283203125,0.0283203125,0.0030691964285714285
20,1001001401,3659,3659,585,16.0,2371,64.8,236,6.4,9,0.2,316,8.6,0,0.0,10,0.3,132,3.6,1.0994181814739363,3659,585,2371,236,9,316,1,10,132,3660,0.6478142076502732,0.06448087431693988,0.08633879781420765,0.1598360655737705,0.000273224043715847,0.002459016393442623,0.036065573770491806,0.036065573770491806,0.00273224043715847
21,1001001402,3370,3370,600,17.8,2124,63.0,327,9.7,0,0.0,203,6.0,16,0.5,8,0.2,92,2.7,1.1198531681378523,3370,600,2124,327,1,203,16,8,92,3371,0.6300800949273213,0.09700385642242658,0.060219519430436075,0.17798872738059923,0.004746366063482646,0.0002966478789676654,0.027291604865025215,0.027291604865025215,0.002373183031741323
22,1001001500,6094,6094,435,7.1,4762,78.1,603,9.9,0,0.0,139,2.3,0,0.0,0,0.0,155,2.5,0.7926227557420743,6094,435,4762,603,1,139,1,1,155,6097,0.7810398556667213,0.0989010989010989,0.022798097424963096,0.07134656388387732,0.0001640150893882237,0.0001640150893882237,0.025422338855174677,0.025422338855174677,0.0001640150893882237
23,1001001600,4959,4959,370,7.5,1297,26.2,2996,60.4,0,0.0,116,2.3,0,0.0,0,0.0,180,3.6,1.0604745261682724,4959,370,1297,2996,1,116,1,1,180,4962,0.2613865376864168,0.60378879484079,0.023377670294236194,0.07456670697299476,0.00020153164046755341,0.00020153164046755341,0.036275695284159616,0.036275695284159616,0.00020153164046755341
24,1001001702,3482,3482,381,10.9,1669,47.9,1325,38.1,0,0.0,23,0.7,0,0.0,23,0.7,61,1.8,1.0709000244316038,3482,381,1669,1325,1,23,1,23,61,3484,0.4790470723306544,0.38030998851894376,0.006601607347876005,0.10935706084959816,0.0002870264064293915,0.0002870264064293915,0.01750861079219288,0.01750861079219288,0.006601607347876005
25,1001001803,4231,4231,1495,35.3,180,4.3,2487,58.8,0,0.0,1,0.0,0,0.0,22,0.5,46,1.1,0.8693826346297544,4231,1495,180,2487,1,1,1,22,46,4233,0.042523033309709427,0.5875265768958186,0.00023623907394283014,0.3531774155445311,0.00023623907394283014,0.00023623907394283014,0.010866997401370187,0.010866997401370187,0.005197259626742263
26,1001001804,5894,5894,1682,28.5,375,6.4,3579,60.7,0,0.0,59,1.0,0,0.0,168,2.9,31,0.5,0.912686999546524,5894,1682,375,3579,1,59,1,168,31,5896,0.06360244233378562,0.60702170963365,0.010006784260515603,0.28527815468113976,0.00016960651289009497,0.00016960651289009497,0.005257801899592945,0.005257801899592945,0.028493894165535955
27,1001001901,4183,4183,738,17.6,803,19.2,2430,58.1,0,0.0,127,3.0,0,0.0,26,0.6,59,1.4,1.1085600135390707,4183,738,803,2430,1,127,1,26,59,4185,0.1918757467144564,0.5806451612903226,0.03034647550776583,0.17634408602150536,0.00023894862604540023,0.00023894862604540023,0.014097968936678614,0.014097968936678614,0.006212664277180406
28,1001001902,2544,2544,638,25.1,428,16.8,1376,54.1,0,0.0,25,1.0,0,0.0,0,0.0,77,3.0,1.1364382207552053,2544,638,428,1376,1,25,1,1,77,2547,0.1680408323517864,0.5402434236356498,0.009815469179426776,0.25049077345897136,0.00039261876717707107,0.00039261876717707107,0.030231645072634473,0.030231645072634473,0.00039261876717707107
