OBJECTID,CJRTRACTBG,CNT_CJRTRA,STATE_FIPS,CNTY_FIPS,STCOFIPS,TRACT,BLKGRP,FIPS,POP2000,POP2004,POP00_SQMI,POP04_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,MALES,FEMALES,AGE_UNDER5,AGE_5_17,AGE_18_21,AGE_22_29,AGE_30_39,AGE_40_49,AGE_50_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,SQMI,SHAPE_Length,SHAPE_Area
1,4801 3,10,11,001,11001,004801,3,110010048013,555,524,11100,10480,73,399,1,41,0,27,14,68,327,228,32,73,27,81,112,96,89,45,35.5,37.1,32.9,240,2.23,76,26,16,29,9,22,104,3.11,300,60,91,149,0.05,1549.30307454044,136470.056373695
2,100 2,13,11,001,11001,000100,2,110010001002,1324,1287,16550,16087.5,1141,121,3,34,0,11,14,57,636,688,29,53,31,225,299,197,235,255,41,38.5,44.9,875,1.41,251,345,32,132,0,8,183,2.3,937,62,395,480,0.08,2168.61750908689,199324.533421611
3,5500 2,14,11,001,11001,005500,2,110010055002,2292,2242,28650,28025,1759,250,5,174,0,34,70,132,1117,1175,34,30,90,713,548,282,315,280,33.8,35.3,32.5,1547,1.37,543,555,38,157,1,3,228,2.29,1664,117,468,1079,0.08,2661.23440341279,218310.00483256
4,5401 1,24,11,001,11001,005401,1,110010054011,1462,1424,13290.9,12945.5,1151,79,4,167,8,11,42,110,680,782,7,6,430,452,200,119,152,96,26.3,26.9,25.9,951,1.31,326,380,6,64,1,2,91,2.14,1043,92,143,808,0.11,2550.41218599292,298641.73625274
5,4902 1,4,11,001,11001,004902,1,110010049021,759,902,25300,30066.7,215,432,1,14,0,87,10,232,403,356,57,163,59,131,129,104,61,55,28.6,28.6,28.8,304,2.47,72,39,37,25,5,54,161,3.23,338,34,53,251,0.03,1184.21299760376,65740.8537269601
6,4802 2,8,11,001,11001,004802,2,110010048022,1797,1818,29950,30300,69,1401,7,243,0,64,13,99,755,1042,118,388,93,200,265,270,232,231,33.7,29.3,36.4,735,2.41,65,177,75,83,11,162,449,3.02,792,57,41,694,0.06,1682.99271658566,148620.274073936
7,4802 1,9,11,001,11001,004802,1,110010048021,1056,926,21120,18520,140,771,2,90,0,30,23,75,558,498,53,175,54,169,227,173,142,63,33.5,34.1,32.4,419,2.33,103,62,28,45,5,62,203,3.07,515,96,131,288,0.05,1542.86889168365,139477.854575788
8,4902 2,13,11,001,11001,004902,2,110010049022,1527,1829,19087.5,22862.5,395,941,23,38,0,91,39,378,813,714,101,222,121,377,302,180,160,64,29,29.3,28.2,704,2.17,159,139,71,49,20,75,292,3.05,810,106,49,655,0.08,1755.79351255991,198120.745729284
9,5500 3,20,11,001,11001,005500,3,110010055003,1479,1547,14790,15470,1244,65,3,122,0,14,31,86,756,723,22,16,109,420,339,229,239,105,34,34.1,33.8,1082,1.37,375,390,16,118,6,5,165,2.19,1222,140,476,606,0.1,2514.11159042886,264148.64940225
10,4700 3,40,11,001,11001,004700,3,110010047003,1140,1162,8142.9,8300,52,956,10,84,1,11,26,15,395,745,55,124,40,93,163,173,192,300,45.1,43,47.3,620,1.58,146,268,25,42,7,52,182,2.77,657,37,7,613,0.14,2766.77709646373,359578.436448953
11,5600 1,29,11,001,11001,005600,1,110010056001,1821,1897,30350,31616.7,1355,87,4,266,1,42,66,123,854,967,10,22,299,633,247,169,249,192,28.8,30.4,27.3,1359,1.34,455,528,13,96,3,1,150,2.21,1606,247,359,1000,0.06,1904.61067345769,150264.54495348
12,5800 1,64,11,001,11001,005800,1,110010058001,1470,1593,4200,4551.4,741,203,2,491,1,12,20,62,767,703,26,70,43,168,338,284,285,256,42.7,41.4,43.9,925,1.5,305,312,47,177,5,6,265,2.46,1159,234,215,710,0.35,4111.1436711266,910714.524492367
13,5701 1,8,11,001,11001,005701,1,110010057011,1400,1342,35000,33550,993,115,4,238,7,23,20,56,587,813,4,3,1052,249,40,15,20,17,20.1,20.5,19.9,259,1.37,101,79,3,18,1,1,27,2.15,273,14,20,239,0.04,1552.98598530249,112800.112576449
14,5701 5,11,11,001,11001,005701,5,110010057015,1090,1019,21800,20380,864,60,0,141,2,10,13,49,465,625,4,8,705,231,62,21,26,33,20.7,21.2,20.4,367,1.39,131,142,4,11,1,1,28,2.36,397,30,36,331,0.05,1490.55696991801,123460.521919075
15,5900 2,50,11,001,11001,005900,2,110010059002,489,563,2573.7,2963.2,32,415,1,15,0,15,11,22,243,246,27,42,15,44,52,67,91,151,49.6,45.9,52,327,1.31,141,125,2,10,1,16,44,2.75,387,60,4,323,0.19,3228.07786296859,484448.749682186
16,6202 1,421,11,001,11001,006202,1,110010062021,12,12,2.7,2.7,7,5,0,0,0,0,0,0,5,7,1,0,1,2,1,1,5,1,47,33.5,53.5,5,2.4,1,1,0,2,0,0,3,3.33,6,1,0,5,4.43,27054.4412945091,11428193.2929929
17,5702 1,18,11,001,11001,005702,1,110010057021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2261.17485057171,266718.982001629
18,5701 2,11,11,001,11001,005701,2,110010057012,1871,1971,31183.3,32850,1389,136,3,274,3,21,45,96,850,1021,4,6,1217,406,80,38,47,73,20.8,21.2,20.5,666,1.29,273,247,4,19,0,1,38,2.18,701,35,33,633,0.06,1765.67793982924,158538.291804377
