OBJECTID_left,STORENAME,ADDRESS,PHONE,PRESENT90,PRESENT95,PRESENT00,PRESENT05,PRESENT08,NOTES,PRESENT09,PRESENT10,PRESENT11,PRESENT12,PRESENT13,PRESENT14,PRESENT15,PRESENT16,PRESENT17,X_COORD,Y_COORD,WARD,ADDRESS_ID,SSL,ZIPCODE,PRESENT18,GIS_ID,geometry,index_right,OBJECTID_right,TRACT,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,SQ_MILES,Shape_Leng,Shape_Area,FAGI_TOTAL,FAGI_MEDIA,FAGI_TOT_1,FAGI_MED_1,FAGI_TOT_2,FAGI_MED_2,FAGI_TOT_3,FAGI_MED_3,FAGI_TOT_4,FAGI_MED_4,FAGI_TOT_5,FAGI_MED_5
1,Target,7828 GEORGIA  AVE NW,2028923822,,,,,,,,,,,,,,,,397662.57,146280.07,Ward 4,300512,2960    0017,20012,,GroceryStorePt_1,POINT (-77.02698057901294 38.98445529888659),8,9,001600,11001001600,3957,3799,997,2670,8,55,1,68,114,51,45,0,200,930,2621,4,55,0,15,104,45,37,0,3239,801,2255,6,48,1,42,59,41,19,0,136,756,2219,3,48,0,6,57,39,16,0,1685,1620,65,667.00608096,1.04219701,8627.683622023953,2699277.858553778,239860892.0,88449.5,206050056.0,86508.5,241106479.0,84972.0,253855939.0,89084.5,280146313.0,97830.5,285179163.0,99800.5
2,International Progresso Market,7719 GEORGIA AVE NW,2025455015,,,,,,,,,,,,,,,,397741.8,146169.97,Ward 4,285417,2961    0810,20012,,GroceryStorePt_2,POINT (-77.02606575460847 38.98346370182269),103,104,010300,11001010300,3187,3057,725,1915,36,67,3,311,68,37,27,9,527,606,1872,17,66,3,14,61,25,25,3,2677,655,1623,31,62,3,216,53,29,13,8,384,559,1589,17,61,3,7,47,20,12,3,1306,1173,133,268.32577311,0.41925902,5400.81030425883,1085875.8846522123,67033876.8,35106.5,76672409.0,36564.5,70736519.0,35263.0,75275047.0,35107.0,80323393.0,36951.0,86842954.0,36933.0
3,Jocelyn’s Market,6404 GEORGIA AVE NW,2027227574,,,,,,,,,,,,,,,,397591.16000000003,144428.0,Ward 4,285334,2945    0839,20012,,GroceryStorePt_3,POINT (-77.02779827340467 38.96777123500419),34,35,001804,11001001804,4480,4310,549,2983,20,51,0,707,74,45,18,11,1211,185,2933,8,51,0,22,56,22,17,8,3461,401,2408,15,42,0,471,61,36,10,10,835,153,2368,7,42,0,6,44,21,9,7,1924,1812,112,148.68792038,0.23232488,3404.953402736568,601718.669088252,90687018.37,26365.0,101095037.0,26535.5,94000568.0,27016.0,101142730.0,27327.0,100111583.0,27144.0,109529081.0,28093.5
4,Magruder's,5626 CONNECTICUT AVE NW,2024644946,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,393373.92,144184.19,Ward 3,263860,1860    0013,20015,Yes,GroceryStorePt_4,POINT (-77.0764593007974 38.96555324028616),26,27,001100,11001001100,4779,4641,4012,290,9,273,6,51,41,18,88,1,306,3773,290,4,268,3,25,32,9,80,0,3980,3355,260,9,243,6,34,20,11,45,1,242,3162,260,4,238,3,13,18,7,38,0,2234,2118,116,414.25397777,0.64727184,5698.762331716087,1676426.3803949275,361630195.0,101389.0,326529055.0,88358.0,410155292.0,97280.0,460087019.0,97640.0,449192481.0,113046.0,480166743.0,114189.5
11,Whole Foods,4530 40TH ST NW,2022375800,No,No,Yes,Yes,Yes,Tenley Town location,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,393133.54000000004,142358.92,Ward 3,265175,1770    0804,20016,Yes,GroceryStorePt_11,POINT (-77.07921470836419 38.94910888722987),26,27,001100,11001001100,4779,4641,4012,290,9,273,6,51,41,18,88,1,306,3773,290,4,268,3,25,32,9,80,0,3980,3355,260,9,243,6,34,20,11,45,1,242,3162,260,4,238,3,13,18,7,38,0,2234,2118,116,414.25397777,0.64727184,5698.762331716087,1676426.3803949275,361630195.0,101389.0,326529055.0,88358.0,410155292.0,97280.0,460087019.0,97640.0,449192481.0,113046.0,480166743.0,114189.5
5,Safeway,5545 CONNECTICUT AVE NW,2022446097,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,393508.13,144078.34,Ward 3,263999,1867    0092,20015,Yes,GroceryStorePt_5,POINT (-77.07490966531481 38.96460071978336),30,31,001401,11001001401,3078,2975,2541,178,5,198,0,53,37,15,55,4,210,2394,176,1,198,0,12,36,14,44,4,2419,1992,162,4,173,0,40,17,14,22,4,160,1873,160,1,173,0,9,16,13,19,4,1478,1415,63,194.78101375,0.30434534,4033.3702948411274,788250.8011509959,230011349.0,91172.5,207763895.0,79863.5,255563544.0,81219.0,291619848.0,85111.0,294699961.0,102872.0,298582687.0,96830.5
6,Walmart Supercenter,5929 GEORGIA AVE NW,2027193770,No,No,No,No,No,Georgia Ave,No,No,No,No,Yes,Yes,Yes,Yes,Yes,397635.44,143796.02,Ward 4,254296,2986    0039,20011,Yes,GroceryStorePt_6,POINT (-77.02728513969279 38.962078321939),35,36,001901,11001001901,4016,3887,424,3023,31,36,3,370,99,56,19,3,625,285,2965,12,29,3,3,87,46,16,3,3190,342,2460,27,30,3,241,64,43,17,3,421,242,2418,11,27,3,2,59,34,14,3,1603,1503,100,190.04120651,0.29693939,3629.6554427724855,769069.4816643748,89722055.5,36750.0,96561062.0,37420.0,93389146.0,35486.0,98715158.0,38108.0,110110056.0,41377.0,119188692.0,42401.0
68,Safeway,6500 PINEY BRANCH RD NW,2027235644,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,397699.34,144623.03,Ward 4,285341,2974    0020,20012,Yes,GroceryStorePt_68,POINT (-77.02655061039643 38.96952840268441),35,36,001901,11001001901,4016,3887,424,3023,31,36,3,370,99,56,19,3,625,285,2965,12,29,3,3,87,46,16,3,3190,342,2460,27,30,3,241,64,43,17,3,421,242,2418,11,27,3,2,59,34,14,3,1603,1503,100,190.04120651,0.29693939,3629.6554427724855,769069.4816643748,89722055.5,36750.0,96561062.0,37420.0,93389146.0,35486.0,98715158.0,38108.0,110110056.0,41377.0,119188692.0,42401.0
7,Walmart Supercenter,310 RIGGS RD NE,2027564418,No,No,No,No,No,Riggs Road,No,No,No,No,No,No,Yes,Yes,Yes,399814.33,143340.35,Ward 4,311574,3748    0052,20011,Yes,GroceryStorePt_7,POINT (-77.0021444681289 38.95797669309218),173,174,009505,11001009505,2630,2571,145,2274,3,25,6,118,49,19,14,4,201,109,2249,2,25,2,4,36,13,11,0,2197,113,1934,2,22,4,82,33,13,7,1,140,89,1913,1,22,2,2,26,12,6,0,1217,1138,79,254.66865835,0.39791978,4571.653132383325,1030607.5017278858,69676775.0,42972.0,74524698.0,41734.0,69233046.0,41221.0,72487872.0,42196.0,94197523.0,45732.0,105022944.0,46330.0
8,Tropimart International Foods,607 KENNEDY ST NW,2026272752,,,,,,,,,,,,,,,,398152.47000000003,143188.21,Ward 4,246733,3207    0089,20011,,GroceryStorePt_8,POINT (-77.02131788768961 38.95660425176423),110,111,002101,11001002101,5309,5075,675,3301,34,99,9,957,128,47,26,6,1651,260,3203,13,95,1,6,72,36,17,4,4155,536,2685,24,77,6,658,88,33,17,6,1152,239,2619,7,74,1,2,54,25,12,4,2183,1983,200,148.52620714,0.2320722,3187.2880507906443,601064.2388130906,94312486.76,26813.0,111940633.0,28176.5,100905873.0,27449.5,107570821.0,27870.5,112888946.0,29257.0,126189873.0,30443.0
9,Rodman’s,5100 WISCONSIN AVE NW,2023633466,,,,,,,,,,,,,,,,392731.53,143157.89,Ward 3,265883,1656    0009,20016,,GroceryStorePt_69,POINT (-77.08386082768217 38.95630298829644),17,18,001001,11001001001,7436,7168,6342,298,17,432,2,77,74,33,172,9,512,5925,295,9,427,2,22,61,28,164,8,5918,5097,249,14,365,2,65,38,23,71,8,387,4786,248,9,362,2,13,30,19,67,8,2834,2727,107,606.40178436,0.94750279,6507.906512504414,2454020.9701431664,441410751.0,114136.5,445020421.0,105423.5,482792403.0,109646.0,523214776.0,110482.5,563657398.0,128283.0,567841867.0,131571.0
12,Target,4500 WISCONSIN  AVE NW,2022925573,,,,,,,,,,,,,,,,393017.52,142295.49,Ward 3,264422,1730    0015,20016,,GroceryStorePt_12,POINT (-77.08055249629905 38.94853657775952),17,18,001001,11001001001,7436,7168,6342,298,17,432,2,77,74,33,172,9,512,5925,295,9,427,2,22,61,28,164,8,5918,5097,249,14,365,2,65,38,23,71,8,387,4786,248,9,362,2,13,30,19,67,8,2834,2727,107,606.40178436,0.94750279,6507.906512504414,2454020.9701431664,441410751.0,114136.5,445020421.0,105423.5,482792403.0,109646.0,523214776.0,110482.5,563657398.0,128283.0,567841867.0,131571.0
13,Wagshal’s Market,4845 MASSACHUSETTS AVE NW,2023630777,,,,,,,,,,,,,,,,391699.01,141984.27,Ward 3,284992,1499    0001,20016,,GroceryStorePt_13,POINT (-77.0957591117584 38.94572155159999),17,18,001001,11001001001,7436,7168,6342,298,17,432,2,77,74,33,172,9,512,5925,295,9,427,2,22,61,28,164,8,5918,5097,249,14,365,2,65,38,23,71,8,387,4786,248,9,362,2,13,30,19,67,8,2834,2727,107,606.40178436,0.94750279,6507.906512504414,2454020.9701431664,441410751.0,114136.5,445020421.0,105423.5,482792403.0,109646.0,523214776.0,110482.5,563657398.0,128283.0,567841867.0,131571.0
