,State,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite_x,TractBlack_x,TractAsian_x,TractNHOPI_x,TractAIAN_x,TractOMultir_x,TractHispanic_x,TractHUNV,TractSNAP,TractWhite_y,TractBlack_y,TractAsian_y,TractNHOPI_y,TractAIAN_y,TractOMultir_y,TractHispanic_y,totalpop,prop_white,prop_black,prop_asian,prop_hisp,prop_nhopi,prop_aian,prop_multir,totalprop,entropy_index,Shape_Length,Shape_Area
11001000100,District of Columbia,District of Columbia,1,4890,2686,0,24,0.004908,0,0,0,0,0,0,2.4,250000,0,0,0,0,0,0,0,0,0.0,67.06946754,0.0,0.0,4.487209916,0.0,67.06946754,0.013715638,4.487209916,0.00091763,8.755452156,0.001790481,8.274410725,0.001692109,58.26754189,0.011915653,1.098985076,0.00022474099999999998,3.93499434,0.000804702,0.0,0.0,0.313995749,6.42118e-05,3.453953266,0.00070633,8.361076832,0.001709832,9.075898767,0.003378965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,585,885,4444,105,201,2,9,129,296,634,0,4444,105,201,2,9,129,296,5186,0.8569224836097185,0.02024681835711531,0.0387581951407636,0.05707674508291554,0.0003856536829926726,0.0017354415734670266,0.024874662553027383,1.0,0.6066319754581455,10028.2362852268,2370834.717974
11001000201,District of Columbia,District of Columbia,1,3916,2,1,3908,0.9979571,0,1,0,0,0,1,86.4,0,0,1,0,1,0,0,0,0,0.0,3031.326509,0.0,0.0,2619.664866,0.0,3031.326509,0.7740874640000001,2619.664866,0.66896447,10.90793622,0.0027854790000000004,20.64234686,0.005271284,2273.006718,0.5804409389999999,200.3840306,0.05117059,374.8382765,0.09571968199999999,3.8956914539999996,0.000994814,5.453968108,0.00139274,173.7478428,0.044368702999999995,213.55663739999997,0.05453438099999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,14,41,2940,259,482,5,7,223,275,0,0,2940,259,482,5,7,223,275,4191,0.7015032211882606,0.06179909329515629,0.11500835122882366,0.06561679790026247,0.0011930326890956812,0.0016702457647339538,0.05320925793366738,1.0,1.0230157794377752,3249.76543814314,539551.85681847
11001000202,District of Columbia,District of Columbia,1,5425,1933,0,1135,0.20921660000000003,0,0,0,0,0,0,19.7,205625,0,0,0,0,0,0,0,0,0.0,331.0213936,0.0,0.0,106.08531359999999,0.0,331.0213936,0.061017768,106.08531359999999,0.019554896999999998,3.8769958019999997,0.0007146539999999999,9.263843149,0.001707621,249.0092991,0.045900332,21.05732322,0.0038815340000000003,38.732580299999995,0.0071396459999999995,0.0,0.0,0.715640783,0.000131915,21.50654364,0.00396434,29.43194497,0.005425243000000001,10.53882411,0.005452055999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833,364,536,4705,159,375,3,5,178,343,332,0,4705,159,375,3,5,178,343,5768,0.8157073509015257,0.02756588072122053,0.06501386962552011,0.05946601941747573,0.0005201109570041609,0.0008668515950069349,0.03085991678224688,1.0000000000000002,0.7280647428687972,6742.45937677228,1234450.92243497
11001000300,District of Columbia,District of Columbia,1,6233,2754,0,0,0.0,0,0,0,0,1,0,12.0,210821,0,1,0,1,0,0,0,1,0.0,1287.5234289999999,0.0,0.0,268.05289930000004,0.0,1287.5234289999999,0.20656560699999998,268.05289930000004,0.043005439000000006,104.6163579,0.01678427,79.61967205,0.012773893,1070.960614,0.171821052,49.06826983,0.007872336,90.83338882,0.014572981,0.453453034,7.27504e-05,3.999999762,0.000641746,72.20769813,0.011584742,126.21196280000001,0.020248991,145.8785034,0.052969682000000004,6.93210293,0.0025171029999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063,691,461,5497,139,352,1,11,233,404,408,23,5497,139,352,1,11,233,404,6637,0.8282356486364322,0.0209431972276631,0.05303601024559289,0.06087087539551002,0.00015067048365225252,0.0016573753201747777,0.03510622269097484,1.0,0.6927066818239962,4077.6913194682,1022248.8713540001
11001000400,District of Columbia,District of Columbia,1,1455,636,0,6,0.004123699999999999,0,0,0,0,0,0,9.6,250000,0,0,0,0,0,0,0,0,0.0,269.3659059,0.0,0.0,35.1861065,0.0,269.3659059,0.185131207,35.1861065,0.024182891,62.855358499999994,0.043199559000000005,57.80643656,0.03972951,236.21714989999998,0.162348557,4.093003631,0.002813061,12.11022564,0.008323179,0.0,0.0,0.216458425,0.00014876899999999998,16.72907004,0.011497643,28.92698454,0.019881088999999998,12.26204197,0.01927994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183,237,278,1247,50,103,0,2,53,123,51,0,1247,50,103,1,2,53,123,1579,0.7897403419886003,0.031665611146295125,0.06523115896136795,0.077897403419886,0.0006333122229259025,0.001266624445851805,0.03356554781507283,1.0,0.7996811993017124,5949.90953355894,1531260.97201112
11001000501,District of Columbia,District of Columbia,1,3376,2027,0,105,0.031101900000000002,0,0,0,0,1,0,10.0,168550,0,1,0,1,0,0,0,1,0.0,1324.112517,0.0,0.0,213.94330069999998,0.0,1324.112517,0.39221342299999995,213.94330069999998,0.06337183099999999,57.73384342,0.017101256999999998,73.55972791,0.021789019,1117.869992,0.33112262800000003,39.96711516,0.011838600000000001,109.7763366,0.032516687,0.051362853,1.52141e-05,0.25681427100000004,7.607060000000001e-05,56.19090772,0.016644226,92.68255687,0.027453363999999997,331.4267675,0.16350605199999999,6.429021416,0.0031716929999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547,181,270,2853,124,249,1,7,142,231,769,14,2853,124,249,1,7,142,231,3607,0.7909620182977544,0.03437759911283615,0.06903243692819518,0.06404214028278347,0.0002772387025228722,0.0019406709176601053,0.03936789575824785,0.9999999999999999,0.8036240652339652,6813.633099265329,944472.6122603859
11001000502,District of Columbia,District of Columbia,1,3189,1643,0,6,0.0018815000000000001,0,0,0,0,1,0,3.8,250000,0,1,0,1,0,0,0,1,0.0,2060.433,0.0,0.0,142.2767623,0.0,2060.433,0.6461063029999999,142.2767623,0.044614852,323.8813925,0.101562055,240.64154059999998,0.075459875,1770.118437,0.555070065,52.52350548,0.016470211999999998,119.79929579999998,0.037566414,0.0,0.0,13.7237457,0.004303464,104.267999,0.032696143,191.4319185,0.060028824,255.55104049999997,0.155539282,19.53021222,0.011886922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267,403,393,2720,95,192,0,15,167,271,431,33,2720,95,192,1,15,167,271,3461,0.7859000288933834,0.027448714244438024,0.055475296157180005,0.07830106905518636,0.0002889338341519792,0.004334007512279688,0.048251950303380524,1.0,0.8201101826850892,4037.96101367443,581445.072597169
11001000600,District of Columbia,District of Columbia,1,4539,2108,0,182,0.0400969,0,0,0,0,0,0,7.2,250000,0,0,0,0,0,0,0,0,0.0,3.8431417939999997,0.0,0.0,0.63745302,0.0,3.8431417939999997,0.000846693,0.63745302,0.000140439,0.56241101,0.00012390600000000002,0.35619363200000004,7.8474e-05,3.2994778160000005,0.000726917,0.112482205,2.4781300000000003e-05,0.243711442,5.3692799999999995e-05,0.0,0.0,0.037494067,8.26042e-06,0.149976268,3.30417e-05,0.243711442,5.3692799999999995e-05,0.5786046979999999,0.00027448,0.014417403999999998,6.8393799999999996e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444,727,836,3878,225,207,2,10,217,332,416,15,3878,225,207,2,10,217,332,4871,0.7961404229111065,0.046191747074522685,0.04249640730856087,0.06815848901662903,0.0004105933073290905,0.0020529665366454527,0.044549373845206325,0.9999999999999999,0.7953340914673901,5202.37043243072,1442757.20675772
11001000701,District of Columbia,District of Columbia,1,4620,2974,0,2,0.00043289999999999995,0,0,0,0,0,0,7.4,126000,0,1,0,1,0,0,0,0,0.0,900.2590637,0.0,0.0,156.9362931,0.0,900.2590637,0.19486126899999998,156.9362931,0.033968895,32.07952118,0.006943619,486.87376639999997,0.10538393199999999,833.1516781,0.18033586100000001,26.51034164,0.005738169,23.76379085,0.005143678,0.0,0.0,2.679310143,0.000579937,14.15392196,0.003063619,37.04158974,0.00801766,95.88716364,0.032241817,3.017451532,0.00101461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827,365,1067,3848,235,288,4,18,227,407,710,16,3848,235,288,4,18,227,407,5027,0.7654664810025861,0.04674756315894171,0.057290630594788144,0.08096280087527352,0.0007957032027053909,0.003580664412174259,0.045156156753530935,1.0,0.8808468134073091,3198.4653896026803,549812.287648554
11001000702,District of Columbia,District of Columbia,1,3364,2293,0,0,0.0,0,0,0,0,1,0,8.7,87378,0,1,0,1,0,0,0,1,0.0,1332.709305,0.0,0.0,247.8447986,0.0,1332.709305,0.396168045,247.8447986,0.07367562400000001,69.96937323,0.020799457,132.50550159999997,0.039389269,1149.423916,0.341683685,51.70777011,0.015370918999999999,58.93932831,0.017520609,0.177055508,5.26324e-05,1.99999997,0.00059453,70.46124303,0.020945673,139.6328862,0.041507992,156.5249858,0.068262096,6.29215771,0.002744072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623,159,282,2751,192,224,1,7,189,357,693,16,2751,192,224,1,7,189,357,3721,0.7393173877989788,0.051599032518140284,0.06019887127116367,0.09594195108841709,0.0002687449610319806,0.0018812147272238647,0.050792797635044344,1.0,0.9356794347875367,2738.79661844594,292886.528546715
