the_geom,cartodb_id,objectid,fid_grocer,fid_groc_1,facilityid,fid_pov_ac,geoid,first_tota,first_unde,first_over,poparea,shape_leng,partpop,partunder1,partover18,partarea,arearatio,groceryacc,fid_wardpl,ward,name,shape_le_1,shape_ar_1,wrdprtarea,areartio2,partpop2,prtovr185,prtund185,percentund185,shapearea,shapelen
,1,33,32,-1,0,33,110010008013,2478,410,2068,861217.674089,7823.4693402,2478,410,2068,861206.004184,0.99998645,false,7,3,Ward 3,28342.1673132,28320779.7089,861206,1,2478,2068,410,0.16545601,861205.976047617,7823.46972789512
,2,34,33,-1,0,34,110010008014,706,110,596,406711.04191,2715.65309526,121,19,102,69908.0812212,0.17188636,false,7,3,Ward 3,28342.1673132,28320779.7089,69908.1015625,1,121,102,19,0.1570248,69908.0952662344,2715.65304157906
,3,35,34,-1,0,35,110010008021,1880,230,1650,653326.084548,7210.86097547,1532,187,1345,532412.534683,0.81492619,false,7,3,Ward 3,28342.1673132,28320779.7089,532306,1,1532,1345,187,0.12206266,532305.897784266,7157.20544116885
,4,36,35,-1,0,36,110010008022,1273,327,946,400855.140939,6552.72407556,1273,327,946,400843.309703,0.99997049,false,4,2,Ward 2,29545.8038865,22492798.344,15393.59960938,0.038403,49,36,13,0.26530612,15393.6172917578,1017.04761437353
,5,37,35,-1,0,36,110010008022,1273,327,946,400855.140939,6552.72407556,1273,327,946,400843.309703,0.99997049,false,7,3,Ward 3,28342.1673132,28320779.7089,385450,0.96159798,1224,910,314,0.25653595,385449.662024344,5902.98164257378
,6,38,36,-1,0,37,110010009011,1551,143,1408,646041.276646,3380.959478,1551,143,1408,646041.268517,0.99999999,false,7,3,Ward 3,28342.1673132,28320779.7089,646041,1,1551,1408,143,0.09219858,646041.276140399,3380.95955603623
,7,39,37,-1,0,38,110010009012,1688,125,1563,1363863.46769,7901.56328647,1688,125,1563,1363863.46459,1,false,7,3,Ward 3,28342.1673132,28320779.7089,1351430,1,1688,1563,125,0.07405213,1351430.00268731,7123.81603652761
,8,40,38,-1,0,39,110010009013,1402,366,1036,932845.579001,5660.96928186,1402,366,1036,932845.586836,1.00000001,false,7,3,Ward 3,28342.1673132,28320779.7089,932857,1,1402,1036,366,0.26105565,932856.919590125,5660.91035651192
,9,41,39,-1,0,40,110010009021,888,137,751,444078.320012,3237.83957439,872,134,737,435851.514833,0.98147443,false,7,3,Ward 3,28342.1673132,28320779.7089,435852,1,872,737,134,0.15366973,435851.492678328,3237.83956034053
,10,1,2,-1,0,1,110010001001,1410,51,1359,548922.955209,5686.0907882,951,34,917,370307.23907,0.67460695,false,4,2,Ward 2,29545.8038865,22492798.344,363886,0.98266,935,901,33,0.03529412,363885.917360352,5265.34456015053
