CensusTract,HUNVFlag_x,LILATracts_1And10_x,LILATracts_halfAnd10_x,LILATracts_Vehicle_x,LILATracts_1And20_x,LATracts1_x,LATracts10_x,LATracts20_x,LATracts_half_x,entropy_index15,HUNVFlag_y,LILATracts_1And10_y,LILATracts_halfAnd10_y,LILATracts_Vehicle_y,LILATracts_1And20_y,LATracts1_y,LATracts10_y,LATracts20_y,LATracts_half_y,entropy_index10,HUNVFlag_diff,LILATracts_1And10_diff,LILATracts_halfAnd10_diff,LILATracts_Vehicle_diff,LILATracts_1And20_diff,LATracts1_diff,LATracts10_diff,LATracts20_diff,LATracts_half_diff
1073012912,1,0,1,1,0,0,0,0,1,1.4719093261881822,1,0,1,1,0,0,0,0,1,1.268581535039309,0,0,0,0,0,0,0,0,0
1089002400,1,1,1,1,1,1,0,0,1,1.4578101009514448,1,1,1,1,1,1,0,0,1,1.2668218857795182,0,0,0,0,0,0,0,0,0
1073005000,0,0,1,0,0,0,0,0,1,1.4229266342194866,1,1,1,1,1,1,0,0,1,1.3781726097281175,-1,-1,0,-1,-1,-1,0,0,0
1089002501,1,1,1,1,1,1,0,0,1,1.4198383752194004,1,1,1,1,1,1,0,0,1,1.162075184979298,0,0,0,0,0,0,0,0,0
1101000500,1,1,1,1,1,1,0,0,1,1.4086945381203422,1,0,1,1,0,0,0,0,1,1.1413921292227296,0,1,0,0,1,1,0,0,0
1073012908,0,0,1,0,0,0,0,0,1,1.397569101606418,0,0,1,0,0,0,0,0,1,1.1387318179052794,0,0,0,0,0,0,0,0,0
1089002502,1,1,1,1,1,1,0,0,1,1.3847410257790276,0,1,1,0,1,1,0,0,1,1.277678469551407,1,0,0,1,0,0,0,0,0
1103000700,0,0,1,0,0,0,0,0,1,1.3592541081379519,1,0,1,1,0,0,0,0,1,1.1795702424603498,-1,0,0,-1,0,0,0,0,0
1073005800,1,1,1,1,1,1,0,0,1,1.346433133609037,1,1,1,1,1,1,0,0,1,1.1254512301301005,0,0,0,0,0,0,0,0,0
1073012913,0,1,1,0,1,1,0,0,1,1.3431324520400183,0,0,0,0,0,0,0,0,1,1.1727183031064001,0,1,1,0,1,1,0,0,0
1089002200,0,0,1,0,0,0,0,0,1,1.338731733839245,0,0,1,0,0,0,0,0,1,1.048773938383418,0,0,0,0,0,0,0,0,0
1103000100,1,0,1,1,0,0,0,0,1,1.3324488303818953,1,1,1,1,1,1,0,0,1,1.1707859250585968,0,-1,0,0,-1,-1,0,0,0
1103000800,0,1,1,0,1,1,0,0,1,1.331479073778704,0,0,0,0,0,0,0,0,1,1.0767330788367586,0,1,1,0,1,1,0,0,0
1073010701,0,1,1,0,1,1,0,0,1,1.3302093929107435,0,0,0,0,0,1,0,0,1,1.2700606003282382,0,1,1,0,1,0,0,0,0
1103000900,1,0,1,1,0,0,0,0,1,1.3221989273943084,0,0,1,0,0,0,0,0,1,1.2058763095987688,1,0,0,1,0,0,0,0,0
1097003204,0,0,1,0,0,0,0,0,1,1.3184001563587961,0,0,1,0,0,0,0,0,1,1.2619342816439207,0,0,0,0,0,0,0,0,0
1089002300,1,0,1,1,0,0,0,0,1,1.3101037608306116,1,0,1,1,0,0,0,0,1,1.1304182872775208,0,0,0,0,0,0,0,0,0
1101005302,0,1,1,0,1,1,0,0,1,1.3095475089548658,0,0,0,0,0,1,0,0,1,1.0111813799342646,0,1,1,0,1,0,0,0,0
